# Cycle: 34993, status: ACC
#     Step              Filename       index    vel
         0  007_230545_2092_trajF.lammpstrj         180     -1
         1  007_230545_2092_trajF.lammpstrj         179     -1
         2  007_230545_2092_trajF.lammpstrj         178     -1
         3  007_230545_2092_trajF.lammpstrj         177     -1
         4  007_230545_2092_trajF.lammpstrj         176     -1
         5  007_230545_2092_trajF.lammpstrj         175     -1
         6  007_230545_2092_trajF.lammpstrj         174     -1
         7  007_230545_2092_trajF.lammpstrj         173     -1
         8  007_230545_2092_trajF.lammpstrj         172     -1
         9  007_230545_2092_trajF.lammpstrj         171     -1
        10  007_230545_2092_trajF.lammpstrj         170     -1
        11  007_230545_2092_trajF.lammpstrj         169     -1
        12  007_230545_2092_trajF.lammpstrj         168     -1
        13  007_230545_2092_trajF.lammpstrj         167     -1
        14  007_230545_2092_trajF.lammpstrj         166     -1
        15  007_230545_2092_trajF.lammpstrj         165     -1
        16  007_230545_2092_trajF.lammpstrj         164     -1
        17  007_230545_2092_trajF.lammpstrj         163     -1
        18  007_230545_2092_trajF.lammpstrj         162     -1
        19  007_230545_2092_trajF.lammpstrj         161     -1
        20  007_230545_2092_trajF.lammpstrj         160     -1
        21  007_230545_2092_trajF.lammpstrj         159     -1
        22  007_230545_2092_trajF.lammpstrj         158     -1
        23  007_230545_2092_trajF.lammpstrj         157     -1
        24  007_230545_2092_trajF.lammpstrj         156     -1
        25  007_230545_2092_trajF.lammpstrj         155     -1
        26  007_230545_2092_trajF.lammpstrj         154     -1
        27  007_230545_2092_trajF.lammpstrj         153     -1
        28  007_230545_2092_trajF.lammpstrj         152     -1
        29  007_230545_2092_trajF.lammpstrj         151     -1
        30  007_230545_2092_trajF.lammpstrj         150     -1
        31  007_230545_2092_trajF.lammpstrj         149     -1
        32  007_230545_2092_trajF.lammpstrj         148     -1
        33  007_230545_2092_trajF.lammpstrj         147     -1
        34  007_230545_2092_trajF.lammpstrj         146     -1
        35  007_230545_2092_trajF.lammpstrj         145     -1
        36  007_230545_2092_trajF.lammpstrj         144     -1
        37  007_230545_2092_trajF.lammpstrj         143     -1
        38  007_230545_2092_trajF.lammpstrj         142     -1
        39  007_230545_2092_trajF.lammpstrj         141     -1
        40  007_230545_2092_trajF.lammpstrj         140     -1
        41  007_230545_2092_trajF.lammpstrj         139     -1
        42  007_230545_2092_trajF.lammpstrj         138     -1
        43  007_230545_2092_trajF.lammpstrj         137     -1
        44  007_230545_2092_trajF.lammpstrj         136     -1
        45  007_230545_2092_trajF.lammpstrj         135     -1
        46  007_230545_2092_trajF.lammpstrj         134     -1
        47  007_230545_2092_trajF.lammpstrj         133     -1
        48  007_230545_2092_trajF.lammpstrj         132     -1
        49  007_230545_2092_trajF.lammpstrj         131     -1
        50  007_230545_2092_trajF.lammpstrj         130     -1
        51  007_230545_2092_trajF.lammpstrj         129     -1
        52  007_230545_2092_trajF.lammpstrj         128     -1
        53  007_230545_2092_trajF.lammpstrj         127     -1
        54  007_230545_2092_trajF.lammpstrj         126     -1
        55  007_230545_2092_trajF.lammpstrj         125     -1
        56  007_230545_2092_trajF.lammpstrj         124     -1
        57  007_230545_2092_trajF.lammpstrj         123     -1
        58  007_230545_2092_trajF.lammpstrj         122     -1
        59  007_230545_2092_trajF.lammpstrj         121     -1
        60  007_230545_2092_trajF.lammpstrj         120     -1
        61  007_230545_2092_trajF.lammpstrj         119     -1
        62  007_230545_2092_trajF.lammpstrj         118     -1
        63  007_230545_2092_trajF.lammpstrj         117     -1
        64  007_230545_2092_trajF.lammpstrj         116     -1
        65  007_230545_2092_trajF.lammpstrj         115     -1
        66  007_230545_2092_trajF.lammpstrj         114     -1
        67  007_230545_2092_trajF.lammpstrj         113     -1
        68  007_230545_2092_trajF.lammpstrj         112     -1
        69  007_230545_2092_trajF.lammpstrj         111     -1
        70  007_230545_2092_trajF.lammpstrj         110     -1
        71  007_230545_2092_trajF.lammpstrj         109     -1
        72  007_230545_2092_trajF.lammpstrj         108     -1
        73  007_230545_2092_trajF.lammpstrj         107     -1
        74  007_230545_2092_trajF.lammpstrj         106     -1
        75  007_230545_2092_trajF.lammpstrj         105     -1
        76  007_230545_2092_trajF.lammpstrj         104     -1
        77  007_230545_2092_trajF.lammpstrj         103     -1
        78  007_230545_2092_trajF.lammpstrj         102     -1
        79  007_230545_2092_trajF.lammpstrj         101     -1
        80  007_230545_2092_trajF.lammpstrj         100     -1
        81  007_230545_2092_trajF.lammpstrj          99     -1
        82  007_230545_2092_trajF.lammpstrj          98     -1
        83  007_230545_2092_trajF.lammpstrj          97     -1
        84  007_230545_2092_trajF.lammpstrj          96     -1
        85  007_230545_2092_trajF.lammpstrj          95     -1
        86  007_230545_2092_trajF.lammpstrj          94     -1
        87  007_230545_2092_trajF.lammpstrj          93     -1
        88  007_230545_2092_trajF.lammpstrj          92     -1
        89  007_230545_2092_trajF.lammpstrj          91     -1
        90  007_230545_2092_trajF.lammpstrj          90     -1
        91  007_230545_2092_trajF.lammpstrj          89     -1
        92  007_230545_2092_trajF.lammpstrj          88     -1
        93  007_230545_2092_trajF.lammpstrj          87     -1
        94  007_230545_2092_trajF.lammpstrj          86     -1
        95  007_230545_2092_trajF.lammpstrj          85     -1
        96  007_230545_2092_trajF.lammpstrj          84     -1
        97  007_230545_2092_trajF.lammpstrj          83     -1
        98  007_230545_2092_trajF.lammpstrj          82     -1
        99  007_230545_2092_trajF.lammpstrj          81     -1
       100  007_230545_2092_trajF.lammpstrj          80     -1
       101  007_230545_2092_trajF.lammpstrj          79     -1
       102  007_230545_2092_trajF.lammpstrj          78     -1
       103  007_230545_2092_trajF.lammpstrj          77     -1
       104  007_230545_2092_trajF.lammpstrj          76     -1
       105  007_230545_2092_trajF.lammpstrj          75     -1
       106  007_230545_2092_trajF.lammpstrj          74     -1
       107  007_230545_2092_trajF.lammpstrj          73     -1
       108  007_230545_2092_trajF.lammpstrj          72     -1
       109  007_230545_2092_trajF.lammpstrj          71     -1
       110  007_230545_2092_trajF.lammpstrj          70     -1
       111  007_230545_2092_trajF.lammpstrj          69     -1
       112  007_230545_2092_trajF.lammpstrj          68     -1
       113  007_230545_2092_trajF.lammpstrj          67     -1
       114  007_230545_2092_trajF.lammpstrj          66     -1
       115  007_230545_2092_trajF.lammpstrj          65     -1
       116  007_230545_2092_trajF.lammpstrj          64     -1
       117  007_230545_2092_trajF.lammpstrj          63     -1
       118  007_230545_2092_trajF.lammpstrj          62     -1
       119  007_230545_2092_trajF.lammpstrj          61     -1
       120  007_230545_2092_trajF.lammpstrj          60     -1
       121  007_230545_2092_trajF.lammpstrj          59     -1
       122  007_230545_2092_trajF.lammpstrj          58     -1
       123  007_230545_2092_trajF.lammpstrj          57     -1
       124  007_230545_2092_trajF.lammpstrj          56     -1
       125  007_230545_2092_trajF.lammpstrj          55     -1
       126  007_230545_2092_trajF.lammpstrj          54     -1
       127  007_230545_2092_trajF.lammpstrj          53     -1
       128  007_230545_2092_trajF.lammpstrj          52     -1
       129  007_230545_2092_trajF.lammpstrj          51     -1
       130  007_230545_2092_trajF.lammpstrj          50     -1
       131  007_230545_2092_trajF.lammpstrj          49     -1
       132  007_230545_2092_trajF.lammpstrj          48     -1
       133  007_230545_2092_trajF.lammpstrj          47     -1
       134  007_230545_2092_trajF.lammpstrj          46     -1
       135  007_230545_2092_trajF.lammpstrj          45     -1
       136  007_230545_2092_trajF.lammpstrj          44     -1
       137  007_230545_2092_trajF.lammpstrj          43     -1
       138  007_230545_2092_trajF.lammpstrj          42     -1
       139  007_230545_2092_trajF.lammpstrj          41     -1
       140  007_230545_2092_trajF.lammpstrj          40     -1
       141  007_230545_2092_trajF.lammpstrj          39     -1
       142  007_230545_2092_trajF.lammpstrj          38     -1
       143  007_230545_2092_trajF.lammpstrj          37     -1
       144  007_230545_2092_trajF.lammpstrj          36     -1
       145  007_230545_2092_trajF.lammpstrj          35     -1
