# Cycle: 34993, status: ACC
#     Step              Filename       index    vel
       146  007_230545_2092_trajF.lammpstrj          34     -1
       147  007_230545_2092_trajF.lammpstrj          33     -1
       148  007_230545_2092_trajF.lammpstrj          32     -1
       149  007_230545_2092_trajF.lammpstrj          31     -1
       150  007_230545_2092_trajF.lammpstrj          30     -1
       151  007_230545_2092_trajF.lammpstrj          29     -1
       152  007_230545_2092_trajF.lammpstrj          28     -1
       153  007_230545_2092_trajF.lammpstrj          27     -1
       154  007_230545_2092_trajF.lammpstrj          26     -1
       155  007_230545_2092_trajF.lammpstrj          25     -1
       156  007_230545_2092_trajF.lammpstrj          24     -1
       157  007_230545_2092_trajF.lammpstrj          23     -1
       158  007_230545_2092_trajF.lammpstrj          22     -1
       159  007_230545_2092_trajF.lammpstrj          21     -1
       160  007_230545_2092_trajF.lammpstrj          20     -1
       161  007_230545_2092_trajF.lammpstrj          19     -1
       162  007_230545_2092_trajF.lammpstrj          18     -1
       163  007_230545_2092_trajF.lammpstrj          17     -1
       164  007_230545_2092_trajF.lammpstrj          16     -1
       165  007_230545_2092_trajF.lammpstrj          15     -1
       166  007_230545_2092_trajF.lammpstrj          14     -1
       167  007_230545_2092_trajF.lammpstrj          13     -1
       168  007_230545_2092_trajF.lammpstrj          12     -1
       169  007_230545_2092_trajF.lammpstrj          11     -1
       170  007_230545_2092_trajF.lammpstrj          10     -1
       171  007_230545_2092_trajF.lammpstrj           9     -1
       172  007_230545_2092_trajF.lammpstrj           8     -1
       173  007_230545_2092_trajF.lammpstrj           7     -1
       174  007_230545_2092_trajF.lammpstrj           6     -1
       175  007_230545_2092_trajF.lammpstrj           5     -1
       176  007_230545_2092_trajF.lammpstrj           4     -1
       177  007_230545_2092_trajF.lammpstrj           3     -1
       178  007_230545_2092_trajF.lammpstrj           2     -1
       179  007_230545_2092_trajF.lammpstrj           1     -1
       180  007_230545_2092_trajF.lammpstrj           0     -1
       181  007_230545_2090_trajF.lammpstrj           1     -1
       182  007_230545_2089_trajB.lammpstrj           0      1
       183  007_230545_2091_trajB.lammpstrj           0      1
       184  007_230545_2091_trajB.lammpstrj           1      1
       185  007_230545_2091_trajB.lammpstrj           2      1
       186  007_230545_2091_trajB.lammpstrj           3      1
       187  007_230545_2091_trajB.lammpstrj           4      1
       188  007_230545_2091_trajB.lammpstrj           5      1
